# shortcode,# animated,# emoji-ordering.txt,# group-variant,# emoticon,# tone-group
,,1F9CD 1F3FF 200D 2642 FE0F ; fully-qualified # 🧍🏿‍♂️ man standing: dark skin tone,group: 1F9CD,,2
,,1F9CD 1F3FF 200D 2642 ; minimally-qualified # 🧍🏿‍♂ man standing: dark skin tone,group: 1F9CD,,2
:cartwheel:,,1F938 ; fully-qualified # 🤸 person cartwheeling,,,2
,,1F938 1F3FB ; fully-qualified # 🤸🏻 person cartwheeling: light skin tone,group: 1F938,,2
,,1F938 1F3FC ; fully-qualified # 🤸🏼 person cartwheeling: medium-light skin tone,group: 1F938,,2
,,1F938 1F3FD ; fully-qualified # 🤸🏽 person cartwheeling: medium skin tone,group: 1F938,,2
,,1F938 1F3FE ; fully-qualified # 🤸🏾 person cartwheeling: medium-dark skin tone,group: 1F938,,2
,,1F938 1F3FF ; fully-qualified # 🤸🏿 person cartwheeling: dark skin tone,group: 1F938,,2
:cartwheel-woman:,,1F938 200D 2640 FE0F ; fully-qualified # 🤸‍♀️ woman cartwheeling,group: 1F938,,2
:cartwheel-woman:,,1F938 200D 2640 ; non-fully-qualified # 🤸‍♀ woman cartwheeling,group: 1F938,,2
,,1F938 1F3FB 200D 2640 FE0F ; fully-qualified # 🤸🏻‍♀️ woman cartwheeling: light skin tone,group: 1F938,,2
,,1F938 1F3FB 200D 2640 ; non-fully-qualified # 🤸🏻‍♀ woman cartwheeling: light skin tone,group: 1F938,,2
,,1F938 1F3FC 200D 2640 FE0F ; fully-qualified # 🤸🏼‍♀️ woman cartwheeling: medium-light skin tone,group: 1F938,,2
,,1F938 1F3FC 200D 2640 ; non-fully-qualified # 🤸🏼‍♀ woman cartwheeling: medium-light skin tone,group: 1F938,,2
,,1F938 1F3FD 200D 2640 FE0F ; fully-qualified # 🤸🏽‍♀️ woman cartwheeling: medium skin tone,group: 1F938,,2
,,1F938 1F3FD 200D 2640 ; non-fully-qualified # 🤸🏽‍♀ woman cartwheeling: medium skin tone,group: 1F938,,2
,,1F938 1F3FE 200D 2640 FE0F ; fully-qualified # 🤸🏾‍♀️ woman cartwheeling: medium-dark skin tone,group: 1F938,,2
,,1F938 1F3FE 200D 2640 ; non-fully-qualified # 🤸🏾‍♀ woman cartwheeling: medium-dark skin tone,group: 1F938,,2
,,1F938 1F3FF 200D 2640 FE0F ; fully-qualified # 🤸🏿‍♀️ woman cartwheeling: dark skin tone,group: 1F938,,2
,,1F938 1F3FF 200D 2640 ; non-fully-qualified # 🤸🏿‍♀ woman cartwheeling: dark skin tone,group: 1F938,,2
:cartwheel-man:,,1F938 200D 2642 FE0F ; fully-qualified # 🤸‍♂️ man cartwheeling,group: 1F938,,2
:cartwheel-man:,,1F938 200D 2642 ; non-fully-qualified # 🤸‍♂ man cartwheeling,group: 1F938,,2
,,1F938 1F3FB 200D 2642 FE0F ; fully-qualified # 🤸🏻‍♂️ man cartwheeling: light skin tone,group: 1F938,,2
,,1F938 1F3FB 200D 2642 ; non-fully-qualified # 🤸🏻‍♂ man cartwheeling: light skin tone,group: 1F938,,2
,,1F938 1F3FC 200D 2642 FE0F ; fully-qualified # 🤸🏼‍♂️ man cartwheeling: medium-light skin tone,group: 1F938,,2
,,1F938 1F3FC 200D 2642 ; non-fully-qualified # 🤸🏼‍♂ man cartwheeling: medium-light skin tone,group: 1F938,,2
,,1F938 1F3FD 200D 2642 FE0F ; fully-qualified # 🤸🏽‍♂️ man cartwheeling: medium skin tone,group: 1F938,,2
,,1F938 1F3FD 200D 2642 ; non-fully-qualified # 🤸🏽‍♂ man cartwheeling: medium skin tone,group: 1F938,,2
,,1F938 1F3FE 200D 2642 FE0F ; fully-qualified # 🤸🏾‍♂️ man cartwheeling: medium-dark skin tone,group: 1F938,,2
,,1F938 1F3FE 200D 2642 ; non-fully-qualified # 🤸🏾‍♂ man cartwheeling: medium-dark skin tone,group: 1F938,,2
,,1F938 1F3FF 200D 2642 FE0F ; fully-qualified # 🤸🏿‍♂️ man cartwheeling: dark skin tone,group: 1F938,,2
,,1F938 1F3FF 200D 2642 ; non-fully-qualified # 🤸🏿‍♂ man cartwheeling: dark skin tone,group: 1F938,,2
:kneeling:,,1F9CE ; fully-qualified # 🧎 person kneeling,,,6
,,1F9CE 1F3FB ; fully-qualified # 🧎🏻 person kneeling: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC ; fully-qualified # 🧎🏼 person kneeling: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD ; fully-qualified # 🧎🏽 person kneeling: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE ; fully-qualified # 🧎🏾 person kneeling: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF ; fully-qualified # 🧎🏿 person kneeling: dark skin tone,group: 1F9CE ,,6
:kneeling-right:,,1F9CE 200D 27A1 FE0F; fully-qualified     # 🧎‍➡️ E15.1 person kneeling facing right,group: 1F9CE ,,6
:kneeling-right:,,1F9CE 200D 27A1; minimally-qualified # 🧎‍➡ E15.1 person kneeling facing right,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 27A1 FE0F; fully-qualified     # 🧎🏻‍➡️ E15.1 person kneeling facing right: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 27A1 ; minimally-qualified # 🧎🏻‍➡ E15.1 person kneeling facing right: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 27A1 FE0F ; fully-qualified     # 🧎🏼‍➡️ E15.1 person kneeling facing right: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 27A1 ; minimally-qualified # 🧎🏼‍➡ E15.1 person kneeling facing right: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 27A1 FE0F ; fully-qualified     # 🧎🏽‍➡️ E15.1 person kneeling facing right: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 27A1; minimally-qualified # 🧎🏽‍➡ E15.1 person kneeling facing right: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 27A1 FE0F; fully-qualified     # 🧎🏾‍➡️ E15.1 person kneeling facing right: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 27A1; minimally-qualified # 🧎🏾‍➡ E15.1 person kneeling facing right: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 27A1 FE0F; fully-qualified     # 🧎🏿‍➡️ E15.1 person kneeling facing right: dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 27A1; minimally-qualified # 🧎🏿‍➡ E15.1 person kneeling facing right: dark skin tone,group: 1F9CE ,,6
:kneeling-woman:,,1F9CE 200D 2640 FE0F ; fully-qualified # 🧎‍♀️ woman kneeling,group: 1F9CE ,,6
:kneeling-woman:,,1F9CE 200D 2640 ; minimally-qualified # 🧎‍♀ woman kneeling,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2640 FE0F ; fully-qualified # 🧎🏻‍♀️ woman kneeling: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2640 ; minimally-qualified # 🧎🏻‍♀ woman kneeling: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2640 FE0F ; fully-qualified # 🧎🏼‍♀️ woman kneeling: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2640 ; minimally-qualified # 🧎🏼‍♀ woman kneeling: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2640 FE0F ; fully-qualified # 🧎🏽‍♀️ woman kneeling: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2640 ; minimally-qualified # 🧎🏽‍♀ woman kneeling: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2640 FE0F ; fully-qualified # 🧎🏾‍♀️ woman kneeling: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2640 ; minimally-qualified # 🧎🏾‍♀ woman kneeling: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2640 FE0F ; fully-qualified # 🧎🏿‍♀️ woman kneeling: dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2640 ; minimally-qualified # 🧎🏿‍♀ woman kneeling: dark skin tone,group: 1F9CE ,,6
:kneeling-woman-right:,,1F9CE 200D 2640 FE0F 200D 27A1 FE0F                    ; fully-qualified     # 🧎‍♀️‍➡️ E15.1 woman kneeling facing right,group: 1F9CE ,,6
:kneeling-woman-right:,,1F9CE 200D 2640 200D 27A1 FE0F; minimally-qualified # 🧎‍♀‍➡️ E15.1 woman kneeling facing right,group: 1F9CE ,,6
:kneeling-woman-right:,,1F9CE 200D 2640 FE0F 200D 27A1; minimally-qualified # 🧎‍♀️‍➡ E15.1 woman kneeling facing right,group: 1F9CE ,,6
:kneeling-woman-right:,,1F9CE 200D 2640 200D 27A1; minimally-qualified # 🧎‍♀‍➡ E15.1 woman kneeling facing right,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2640 FE0F 200D 27A1 FE0F; fully-qualified     # 🧎🏻‍♀️‍➡️ E15.1 woman kneeling facing right: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2640 200D 27A1 FE0F; minimally-qualified # 🧎🏻‍♀‍➡️ E15.1 woman kneeling facing right: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2640 FE0F 200D 27A1; minimally-qualified # 🧎🏻‍♀️‍➡ E15.1 woman kneeling facing right: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2640 200D 27A1; minimally-qualified # 🧎🏻‍♀‍➡ E15.1 woman kneeling facing right: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2640 FE0F 200D 27A1 FE0F; fully-qualified     # 🧎🏼‍♀️‍➡️ E15.1 woman kneeling facing right: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2640 200D 27A1 FE0F; minimally-qualified # 🧎🏼‍♀‍➡️ E15.1 woman kneeling facing right: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2640 FE0F 200D 27A1; minimally-qualified # 🧎🏼‍♀️‍➡ E15.1 woman kneeling facing right: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2640 200D 27A1; minimally-qualified # 🧎🏼‍♀‍➡ E15.1 woman kneeling facing right: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2640 FE0F 200D 27A1 FE0F; fully-qualified     # 🧎🏽‍♀️‍➡️ E15.1 woman kneeling facing right: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2640 200D 27A1 FE0F; minimally-qualified # 🧎🏽‍♀‍➡️ E15.1 woman kneeling facing right: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2640 FE0F 200D 27A1; minimally-qualified # 🧎🏽‍♀️‍➡ E15.1 woman kneeling facing right: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2640 200D 27A1; minimally-qualified # 🧎🏽‍♀‍➡ E15.1 woman kneeling facing right: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2640 FE0F 200D 27A1 FE0F; fully-qualified     # 🧎🏾‍♀️‍➡️ E15.1 woman kneeling facing right: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2640 200D 27A1 FE0F; minimally-qualified # 🧎🏾‍♀‍➡️ E15.1 woman kneeling facing right: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2640 FE0F 200D 27A1; minimally-qualified # 🧎🏾‍♀️‍➡ E15.1 woman kneeling facing right: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2640 200D 27A1; minimally-qualified # 🧎🏾‍♀‍➡ E15.1 woman kneeling facing right: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2640 FE0F 200D 27A1 FE0F; fully-qualified     # 🧎🏿‍♀️‍➡️ E15.1 woman kneeling facing right: dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2640 200D 27A1 FE0F; minimally-qualified # 🧎🏿‍♀‍➡️ E15.1 woman kneeling facing right: dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2640 FE0F 200D 27A1; minimally-qualified # 🧎🏿‍♀️‍➡ E15.1 woman kneeling facing right: dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2640 200D 27A1; minimally-qualified # 🧎🏿‍♀‍➡ E15.1 woman kneeling facing right: dark skin tone,group: 1F9CE ,,6
:kneeling-man:,,1F9CE 200D 2642 FE0F ; fully-qualified # 🧎‍♂️ man kneeling,group: 1F9CE ,,6
:kneeling-man:,,1F9CE 200D 2642 ; minimally-qualified # 🧎‍♂ man kneeling,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2642 FE0F ; fully-qualified # 🧎🏻‍♂️ man kneeling: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2642 ; minimally-qualified # 🧎🏻‍♂ man kneeling: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2642 FE0F ; fully-qualified # 🧎🏼‍♂️ man kneeling: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2642 ; minimally-qualified # 🧎🏼‍♂ man kneeling: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2642 FE0F ; fully-qualified # 🧎🏽‍♂️ man kneeling: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2642 ; minimally-qualified # 🧎🏽‍♂ man kneeling: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2642 FE0F ; fully-qualified # 🧎🏾‍♂️ man kneeling: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2642 ; minimally-qualified # 🧎🏾‍♂ man kneeling: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2642 FE0F ; fully-qualified # 🧎🏿‍♂️ man kneeling: dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2642 ; minimally-qualified # 🧎🏿‍♂ man kneeling: dark skin tone,group: 1F9CE ,,6
:kneeling-man-right:,,1F9CE 200D 2642 FE0F 200D 27A1 FE0F; fully-qualified     # 🧎‍♂️‍➡️ E15.1 man kneeling facing right,group: 1F9CE ,,6
:kneeling-man-right:,,1F9CE 200D 2642 200D 27A1 FE0F; minimally-qualified # 🧎‍♂‍➡️ E15.1 man kneeling facing right,group: 1F9CE ,,6
:kneeling-man-right:,,1F9CE 200D 2642 FE0F 200D 27A1; minimally-qualified # 🧎‍♂️‍➡ E15.1 man kneeling facing right,group: 1F9CE ,,6
:kneeling-man-right:,,1F9CE 200D 2642 200D 27A1; minimally-qualified # 🧎‍♂‍➡ E15.1 man kneeling facing right,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2642 FE0F 200D 27A1 FE0F; fully-qualified     # 🧎🏻‍♂️‍➡️ E15.1 man kneeling facing right: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2642 200D 27A1 FE0F; minimally-qualified # 🧎🏻‍♂‍➡️ E15.1 man kneeling facing right: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2642 FE0F 200D 27A1; minimally-qualified # 🧎🏻‍♂️‍➡ E15.1 man kneeling facing right: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FB 200D 2642 200D 27A1; minimally-qualified # 🧎🏻‍♂‍➡ E15.1 man kneeling facing right: light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2642 FE0F 200D 27A1 FE0F; fully-qualified     # 🧎🏼‍♂️‍➡️ E15.1 man kneeling facing right: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2642 200D 27A1 FE0F; minimally-qualified # 🧎🏼‍♂‍➡️ E15.1 man kneeling facing right: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2642 FE0F 200D 27A1; minimally-qualified # 🧎🏼‍♂️‍➡ E15.1 man kneeling facing right: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FC 200D 2642 200D 27A1; minimally-qualified # 🧎🏼‍♂‍➡ E15.1 man kneeling facing right: medium-light skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2642 FE0F 200D 27A1 FE0F; fully-qualified     # 🧎🏽‍♂️‍➡️ E15.1 man kneeling facing right: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2642 200D 27A1 FE0F; minimally-qualified # 🧎🏽‍♂‍➡️ E15.1 man kneeling facing right: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2642 FE0F 200D 27A1; minimally-qualified # 🧎🏽‍♂️‍➡ E15.1 man kneeling facing right: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FD 200D 2642 200D 27A1; minimally-qualified # 🧎🏽‍♂‍➡ E15.1 man kneeling facing right: medium skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2642 FE0F 200D 27A1 FE0F; fully-qualified     # 🧎🏾‍♂️‍➡️ E15.1 man kneeling facing right: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2642 200D 27A1 FE0F                   ; minimally-qualified # 🧎🏾‍♂‍➡️ E15.1 man kneeling facing right: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2642 FE0F 200D 27A1                   ; minimally-qualified # 🧎🏾‍♂️‍➡ E15.1 man kneeling facing right: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FE 200D 2642 200D 27A1                        ; minimally-qualified # 🧎🏾‍♂‍➡ E15.1 man kneeling facing right: medium-dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2642 FE0F 200D 27A1 FE0F              ; fully-qualified     # 🧎🏿‍♂️‍➡️ E15.1 man kneeling facing right: dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2642 200D 27A1 FE0F                   ; minimally-qualified # 🧎🏿‍♂‍➡️ E15.1 man kneeling facing right: dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2642 FE0F 200D 27A1                   ; minimally-qualified # 🧎🏿‍♂️‍➡ E15.1 man kneeling facing right: dark skin tone,group: 1F9CE ,,6
,,1F9CE 1F3FF 200D 2642 200D 27A1                        ; minimally-qualified # 🧎🏿‍♂‍➡ E15.1 man kneeling facing right: dark skin tone,group: 1F9CE ,,6
:person-in-motorized-wheelchair:,,1F9D1 200D 1F9BC ; fully-qualified # 🧑‍🦼 E12.1 person in motorized wheelchair,,,6
,,1F9D1 1F3FB 200D 1F9BC ; fully-qualified # 🧑🏻‍🦼 E12.1 person in motorized wheelchair: light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FC 200D 1F9BC ; fully-qualified # 🧑🏼‍🦼 E12.1 person in motorized wheelchair: medium-light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FD 200D 1F9BC ; fully-qualified # 🧑🏽‍🦼 E12.1 person in motorized wheelchair: medium skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FE 200D 1F9BC ; fully-qualified # 🧑🏾‍🦼 E12.1 person in motorized wheelchair: medium-dark skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FF 200D 1F9BC ; fully-qualified # 🧑🏿‍🦼 E12.1 person in motorized wheelchair: dark skin tone,group: 1F9D1 200D 1F9BC,,6
:person-in-motorized-wheelchair-right:,,1F9D1 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 🧑‍🦼‍➡️ E15.1 person in motorized wheelchair facing right,group: 1F9D1 200D 1F9BC,,6
:person-in-motorized-wheelchair-right:,,1F9D1 200D 1F9BC 200D 27A1; minimally-qualified # 🧑‍🦼‍➡ E15.1 person in motorized wheelchair facing right,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FB 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 🧑🏻‍🦼‍➡️ E15.1 person in motorized wheelchair facing right: light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FB 200D 1F9BC 200D 27A1; minimally-qualified # 🧑🏻‍🦼‍➡ E15.1 person in motorized wheelchair facing right: light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FC 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 🧑🏼‍🦼‍➡️ E15.1 person in motorized wheelchair facing right: medium-light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FC 200D 1F9BC 200D 27A1; minimally-qualified # 🧑🏼‍🦼‍➡ E15.1 person in motorized wheelchair facing right: medium-light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FD 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 🧑🏽‍🦼‍➡️ E15.1 person in motorized wheelchair facing right: medium skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FD 200D 1F9BC 200D 27A1; minimally-qualified # 🧑🏽‍🦼‍➡ E15.1 person in motorized wheelchair facing right: medium skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FE 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 🧑🏾‍🦼‍➡️ E15.1 person in motorized wheelchair facing right: medium-dark skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FE 200D 1F9BC 200D 27A1; minimally-qualified # 🧑🏾‍🦼‍➡ E15.1 person in motorized wheelchair facing right: medium-dark skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FF 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 🧑🏿‍🦼‍➡️ E15.1 person in motorized wheelchair facing right: dark skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F9D1 1F3FF 200D 1F9BC 200D 27A1; minimally-qualified # 🧑🏿‍🦼‍➡ E15.1 person in motorized wheelchair facing right: dark skin tone,group: 1F9D1 200D 1F9BC,,6
:woman-in-motorized-wheelchair:,,1F469 200D 1F9BC ; fully-qualified # 👩‍🦼 woman in motorized wheelchair,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FB 200D 1F9BC ; fully-qualified # 👩🏻‍🦼 woman in motorized wheelchair: light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FC 200D 1F9BC ; fully-qualified # 👩🏼‍🦼 woman in motorized wheelchair: medium-light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FD 200D 1F9BC ; fully-qualified # 👩🏽‍🦼 woman in motorized wheelchair: medium skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FE 200D 1F9BC ; fully-qualified # 👩🏾‍🦼 woman in motorized wheelchair: medium-dark skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FF 200D 1F9BC ; fully-qualified # 👩🏿‍🦼 woman in motorized wheelchair: dark skin tone,group: 1F9D1 200D 1F9BC,,6
:woman-in-motorized-wheelchair-right:,,1F469 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 👩‍🦼‍➡️ E15.1 woman in motorized wheelchair facing right,group: 1F9D1 200D 1F9BC,,6
:woman-in-motorized-wheelchair-right:,,1F469 200D 1F9BC 200D 27A1; minimally-qualified # 👩‍🦼‍➡ E15.1 woman in motorized wheelchair facing right,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FB 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 👩🏻‍🦼‍➡️ E15.1 woman in motorized wheelchair facing right: light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FB 200D 1F9BC 200D 27A1; minimally-qualified # 👩🏻‍🦼‍➡ E15.1 woman in motorized wheelchair facing right: light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FC 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 👩🏼‍🦼‍➡️ E15.1 woman in motorized wheelchair facing right: medium-light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FC 200D 1F9BC 200D 27A1; minimally-qualified # 👩🏼‍🦼‍➡ E15.1 woman in motorized wheelchair facing right: medium-light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FD 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 👩🏽‍🦼‍➡️ E15.1 woman in motorized wheelchair facing right: medium skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FD 200D 1F9BC 200D 27A1; minimally-qualified # 👩🏽‍🦼‍➡ E15.1 woman in motorized wheelchair facing right: medium skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FE 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 👩🏾‍🦼‍➡️ E15.1 woman in motorized wheelchair facing right: medium-dark skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FE 200D 1F9BC 200D 27A1; minimally-qualified # 👩🏾‍🦼‍➡ E15.1 woman in motorized wheelchair facing right: medium-dark skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FF 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 👩🏿‍🦼‍➡️ E15.1 woman in motorized wheelchair facing right: dark skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F469 1F3FF 200D 1F9BC 200D 27A1; minimally-qualified # 👩🏿‍🦼‍➡ E15.1 woman in motorized wheelchair facing right: dark skin tone,group: 1F9D1 200D 1F9BC,,6
:man-in-motorized-wheelchair:,,1F468 200D 1F9BC ; fully-qualified # 👨‍🦼 man in motorized wheelchair,group: 1F9D1 200D 1F9BC,,6
,,1F468 1F3FB 200D 1F9BC ; fully-qualified # 👨🏻‍🦼 man in motorized wheelchair: light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F468 1F3FC 200D 1F9BC ; fully-qualified # 👨🏼‍🦼 man in motorized wheelchair: medium-light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F468 1F3FD 200D 1F9BC ; fully-qualified # 👨🏽‍🦼 man in motorized wheelchair: medium skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F468 1F3FE 200D 1F9BC ; fully-qualified # 👨🏾‍🦼 man in motorized wheelchair: medium-dark skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F468 1F3FF 200D 1F9BC ; fully-qualified # 👨🏿‍🦼 man in motorized wheelchair: dark skin tone,group: 1F9D1 200D 1F9BC,,6
:man-in-motorized-wheelchair-right:,,1F468 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 👨‍🦼‍➡️ E15.1 man in motorized wheelchair facing right,group: 1F9D1 200D 1F9BC,,6
:man-in-motorized-wheelchair-right:,,1F468 200D 1F9BC 200D 27A1; minimally-qualified # 👨‍🦼‍➡ E15.1 man in motorized wheelchair facing right,group: 1F9D1 200D 1F9BC,,6
,,1F468 1F3FB 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 👨🏻‍🦼‍➡️ E15.1 man in motorized wheelchair facing right: light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F468 1F3FB 200D 1F9BC 200D 27A1; minimally-qualified # 👨🏻‍🦼‍➡ E15.1 man in motorized wheelchair facing right: light skin tone,group: 1F9D1 200D 1F9BC,,6
,,1F468 1F3FC 200D 1F9BC 200D 27A1 FE0F; fully-qualified     # 👨🏼‍🦼‍➡️ E15.1 man in motorized wheelchair facing right: medium-light skin tone,group: 1F9D1 200D 1F9BC,,6
