# shortcode,# animated,# emoji-ordering.txt,# group-variant,# emoticon,# tone-group
:cry:,1,1F622 ; fully-qualified # 😢 crying face,,:'(,
:big-frown:,1,2639 FE0F ; fully-qualified # ☹️ frowning face,,:-(,
:big-frown:,1,2639 ; non-fully-qualified # ☹ frowning face,,:-(,
:frown:,1,1F641 ; fully-qualified # 🙁 slightly frowning face,,:(,
:diagonal-mouth:,1,1FAE4 ; fully-qualified # 🫤 face with diagonal mouth,,:/,
:slightly-frowning:,1,1F615 ; fully-qualified # 😕 confused face,,:-/,
:anxious-with-sweat:,1,1F630 ; fully-qualified # 😰 anxious face with sweat,,D-':,
:scared:,1,1F628 ; fully-qualified # 😨 fearful face,,D-:,
:anguished:,1,1F627 ; fully-qualified # 😧 anguished face,,,
:gasp:,1,1F626 ; fully-qualified # 😦 frowning face with open mouth,,D=,
:mouth-open:,1,1F62E ; fully-qualified # 😮 face with open mouth,,:O,
":surprised:,:hushed:",1,1F62F ; fully-qualified # 😯 hushed face,,:o,
:astonished:,1,1F632 ; fully-qualified # 😲 astonished face,,,
:flushed:,1,1F633 ; fully-qualified # 😳 flushed face,,8‑0,
":mind-blown:,:exploding-head:",1,1F92F ; fully-qualified # 🤯 exploding head,,,
":scrunched-mouth:,:confounded:,:zigzag-mouth:",1,1F616 ; fully-qualified # 😖 confounded face,,>:[,
":scrunched-eyes:,:persevering:",1,1F623 ; fully-qualified # 😣 persevering face,,>:(,
:weary:,1,1F629 ; fully-qualified # 😩 weary face,,D:,
:distraught:,1,1F62B ; fully-qualified # 😫 tired face,,D-X,
,,,,,
,,# subgroup: health,,,
:x-eyes:,1,1F635 ; fully-qualified # 😵 dizzy face,,X_o,
:dizzy-face:,1,1F635 200D 1F4AB ; fully-qualified # 😵‍💫 face with spiral eyes,,,
:shaking-face:,1,1FAE8; fully-qualified # 🫨 shaking face,,,
:woozy:,1,1F974 ; fully-qualified # 🥴 woozy face,,>﹏☉,
":hot-face:,:sweat-face:",1,1F975 ; fully-qualified # 🥵 hot face,,,
:cold-face:,1,1F976 ; fully-qualified # 🥶 cold face,,,
":sick:,:nauseated:",1,1F922 ; fully-qualified # 🤢 nauseated face,,:-###,
:vomit:,1,1F92E ; fully-qualified # 🤮 face vomiting,,:-O##,
":tired:, :bags-under-eyes:",1,1FAE9 ; fully-qualified # 🫩  face with bags under eyes,,,
:sleep:,1,1F634 ; fully-qualified # 😴 sleeping face,,Z_Z,
:sleepy:,1,1F62A ; fully-qualified # 😪 sleepy face,,(-.-)zzZZ,
:sneeze:,1,1F927 ; fully-qualified # 🤧 sneezing face,,(*´台｀*),
:thermometer-face:,1,1F912 ; fully-qualified # 🤒 face with thermometer,,,
:bandage-face:,1,1F915 ; fully-qualified # 🤕 face with head-bandage,,,
:mask:,1,1F637 ; fully-qualified # 😷 face with medical mask,,,
,,,,,
,,# subgroup: personas,,,
:liar:,1,1F925 ; fully-qualified # 🤥 lying face,,,
":halo:,:innocent:",1,1F607 ; fully-qualified # 😇 smiling face with halo,,O:),
:cowboy:,1,1F920 ; fully-qualified # 🤠 cowboy hat face,,<):),
:money-face:,1,1F911 ; fully-qualified # 🤑 money-mouth face,,$_$,
:nerd-face:,1,1F913 ; fully-qualified # 🤓 nerd face,,:-B,
:sunglasses-face:,1,1F60E ; fully-qualified # 😎 smiling face with sunglasses,,B-),
:disguise:,1,1F978 ; fully-qualified # 🥸 disguised face,,,
:clown:,1,1F921 ; fully-qualified # 🤡 clown face,,:o),
:poop:,1,1F4A9 ; fully-qualified # 💩 pile of poo,,༼^-^༽,
:imp-smile:,1,1F608 ; fully-qualified # 😈 smiling face with horns,,3:),
:imp-frown:,1,1F47F ; fully-qualified # 👿 angry face with horns,,3:(,
:ghost:,1,1F47B ; fully-qualified # 👻 ghost,,⊂(´・◡・⊂)∘˚˳°,
:skull:,1,1F480 ; fully-qualified # 💀 skull,,,
:skull-and-crossbones:,,2620 FE0F ; fully-qualified # ☠️ skull and crossbones,,,
:skull-and-crossbones:,,2620 ; non-fully-qualified # ☠ skull and crossbones,,,
:robot:,1,1F916 ; fully-qualified # 🤖 robot face,,,
:ogre:,,1F479 ; fully-qualified # 👹 ogre,,,
:goblin:,,1F47A ; fully-qualified # 👺 goblin,,,
:snowman-with-snow:,1,2603 FE0F ; fully-qualified # ☃️ snowman,,,
:snowman-with-snow:,1,2603 ; non-fully-qualified # ☃ snowman,,,
:snowman:,1,26C4 ; fully-qualified # ⛄ snowman without snow,,,
:alien:,1,1F47D ; fully-qualified # 👽 alien,,(<>..<>),
:alien-monster:,1,1F47E ; fully-qualified # 👾 alien monster,,,
:moon-face-new:,,1F31A ; fully-qualified # 🌚 new moon face,,>_>,
:moon-face-full:,,1F31D ; fully-qualified # 🌝 full moon face,,<_<,
:sun-with-face:,1,1F31E ; fully-qualified # 🌞 sun with face,,,
:moon-face-first-quarter:,1,1F31B ; fully-qualified # 🌛 first quarter moon face,,,
:moon-face-last-quarter:,1,1F31C ; fully-qualified # 🌜 last quarter moon face,,,
,,,,,
,,# subgroup: animal-emotions,,,
:smiley-cat:,1,1F63A ; fully-qualified # 😺 grinning cat face,,:3,
:smile-cat:,1,1F638 ; fully-qualified # 😸 grinning cat face with smiling eyes,,,
:joy-cat:,1,1F639 ; fully-qualified # 😹 cat face with tears of joy,,,
:heart-eyes-cat:,1,1F63B ; fully-qualified # 😻 smiling cat face with heart-eyes,,,
:smirk-cat:,1,1F63C ; fully-qualified # 😼 cat face with wry smile,,,
:kissing-cat:,1,1F63D ; fully-qualified # 😽 kissing cat face,,,
:scream-cat:,1,1F640 ; fully-qualified # 🙀 weary cat face,,,
:crying-cat-face:,1,1F63F ; fully-qualified # 😿 crying cat face,,,
:pouting-cat:,1,1F63E ; fully-qualified # 😾 pouting cat face,,,
:see-no-evil-monkey:,1,1F648 ; fully-qualified # 🙈 see-no-evil monkey,,,
:hear-no-evil-monkey:,1,1F649 ; fully-qualified # 🙉 hear-no-evil monkey,,,
:speak-no-evil-monkey:,1,1F64A ; fully-qualified # 🙊 speak-no-evil monkey,,,
,,,,,
,,# subgroup: annotation,,,
:dizzy:,,1F4AB ; fully-qualified # 💫 dizzy,,,
:star:,,2B50 ; fully-qualified # ⭐ star,,,
:glowing-star:,1,1F31F ; fully-qualified # 🌟 glowing star,,,
:sparkles:,1,2728 ; fully-qualified # ✨ sparkles,,,
":electricity:,:zap:, :lightning:",1,26A1 ; fully-qualified # ⚡ high voltage,,,
:collision:,1,1F4A5 ; fully-qualified # 💥 collision,,,
:fight:,,1FAEF ; fully-qualified     # 🫯 E17.0 fight cloud,,,
:anger:,,1F4A2 ; fully-qualified # 💢 anger symbol,,,
":dash:,:poof:",,1F4A8 ; fully-qualified # 💨 dashing away,,,
:zzz:,,1F4A4 ; fully-qualified # 💤 zzz,,,
:hole:,,1F573 FE0F ; fully-qualified # 🕳️ hole,,,
:hole:,,1F573 ; non-fully-qualified # 🕳 hole,,,
":fire:,:burn:,:lit:",1,1F525 ; fully-qualified # 🔥 fire,,,
":100:,:one-hundred:,:hundred:,:points:",1,1F4AF ; fully-qualified # 💯 hundred points,,,
:party-popper:,1,1F389 ; fully-qualified # 🎉 party popper,,,
:confetti-ball:,1,1F38A ; fully-qualified # 🎊 confetti ball,,,
,,,,,
,,# subgroup: love,,,
:red-heart:,1,2764 FE0F ; fully-qualified # ❤️ red heart,,<3,
:red-heart:,1,2764 ; non-fully-qualified # ❤ red heart,,<3,
:orange-heart:,1,1F9E1 ; fully-qualified # 🧡 orange heart,,,
:yellow-heart:,1,1F49B ; fully-qualified # 💛 yellow heart,,,
:green-heart:,1,1F49A ; fully-qualified # 💚 green heart,,,
:light-blue-heart:,1,1FA75 ; fully-qualified # 🩵 light blue heart,,,
:blue-heart:,1,1F499 ; fully-qualified # 💙 blue heart,,,
:purple-heart:,1,1F49C ; fully-qualified # 💜 purple heart,,,
:brown-heart:,1,1F90E ; fully-qualified # 🤎 brown heart,,,
:black-heart:,1,1F5A4 ; fully-qualified # 🖤 black heart,,,
:grey-heart:,1,1FA76 ; fully-qualified # 🩶 grey heart,,,
:white-heart:,1,1F90D ; fully-qualified # 🤍 white heart,,,
:pink-heart:,1,1FA77 ; fully-qualified # 🩷 pink heart,,,
:cupid:,1,1F498 ; fully-qualified # 💘 heart with arrow,,,
:gift-heart:,1,1F49D ; fully-qualified # 💝 heart with ribbon,,,
:sparkling-heart:,1,1F496 ; fully-qualified # 💖 sparkling heart,,,
:heart-grow:,1,1F497 ; fully-qualified # 💗 growing heart,,,
:beating-heart:,1,1F493 ; fully-qualified # 💓 beating heart,,,
:revolving-hearts:,1,1F49E ; fully-qualified # 💞 revolving hearts,,,
:two-hearts:,1,1F495 ; fully-qualified # 💕 two hearts,,<3<3,
:love-letter:,1,1F48C ; fully-qualified # 💌 love letter,,,
:heart-box:,1,1F49F ; fully-qualified # 💟 heart decoration,,,
:heart:,,2665 FE0F ; fully-qualified # ♥️ heart suit,,,
:heart:,,2665 ; non-fully-qualified # ♥ heart suit,,,
:heart-exclamation-point:,1,2763 FE0F ; fully-qualified # ❣️ heavy heart exclamation,,<3!,
:heart-exclamation-point:,1,2763 ; non-fully-qualified # ❣ heavy heart exclamation,,<3!,
:bandaged-heart:,1,2764 FE0F 200D 1FA79 ; fully-qualified # ❤️‍🩹 mending heart,,,
:broken-heart:,1,1F494 ; fully-qualified # 💔 broken heart,,</3,
:fire-heart:,1,2764 FE0F 200D 1F525 ; fully-qualified # ❤️‍🔥 heart on fire,,,
:kiss:,1,1F48B ; fully-qualified # 💋 kiss mark,,,
,,,,,
,,# subgroup: body,,,
:hugging:,,1FAC2 ; fully-qualified # 🫂 people hugging,,,
:busts-in-silhouette:,,1F465 ; fully-qualified # 👥 busts in silhouette,,,
:bust-in-silhouette:,,1F464 ; fully-qualified # 👤 bust in silhouette,,,
:speaking-head:,,1F5E3 FE0F ; fully-qualified # 🗣️ speaking head,,,
:speaking-head:,,1F5E3 ; non-fully-qualified # 🗣 speaking head,,,
:footprints:,1,1F463 ; fully-qualified # 👣 footprints,,,
:fingerprint:,1,1FAC6 ; fully-qualified     # 🫆 E16.0 fingerprint,,,
:sweat-droplets:,,1F4A6 ; fully-qualified # 💦 sweat droplets,,,
:brain:,,1F9E0 ; fully-qualified # 🧠 brain,,,
:anatomical-heart:,1,1FAC0 ; fully-qualified # 🫀 E13.0 anatomical heart,,,
:lungs:,,1FAC1 ; fully-qualified # 🫁 E13.0 lungs,,,
:blood:,1,1FA78 ; fully-qualified # 🩸 drop of blood,,,
":microbe:,:virus:",1,1F9A0 ; fully-qualified # 🦠 microbe,,,
:tooth:,,1F9B7 ; fully-qualified # 🦷 tooth,,,
:bone:,,1F9B4 ; fully-qualified # 🦴 bone,,,
:eyes:,1,1F440 ; fully-qualified # 👀 eyes,,,
:eye:,1,1F441 FE0F ; fully-qualified # 👁️ eye,,,
:eye:,1,1F441 ; non-fully-qualified # 👁 eye,,,
:mouth:,,1F444 ; fully-qualified # 👄 mouth,,,
:biting-lip:,1,1FAE6 ; fully-qualified # 🫦 biting lip,,,
:tongue:,,1F445 ; fully-qualified # 👅 tongue,,,
:nose:,1,1F443 ; fully-qualified # 👃 nose,,,1
,1,1F443 1F3FB ; fully-qualified # 👃🏻 nose: light skin tone,group: 1F443,,1
,1,1F443 1F3FC ; fully-qualified # 👃🏼 nose: medium-light skin tone,group: 1F443,,1
,1,1F443 1F3FD ; fully-qualified # 👃🏽 nose: medium skin tone,group: 1F443,,1
,1,1F443 1F3FE ; fully-qualified # 👃🏾 nose: medium-dark skin tone,group: 1F443,,1
,1,1F443 1F3FF ; fully-qualified # 👃🏿 nose: dark skin tone,group: 1F443,,1
:ear:,1,1F442 ; fully-qualified # 👂 ear,,,1
,1,1F442 1F3FB ; fully-qualified # 👂🏻 ear: light skin tone,group: 1F442,,1
,1,1F442 1F3FC ; fully-qualified # 👂🏼 ear: medium-light skin tone,group: 1F442,,1
,1,1F442 1F3FD ; fully-qualified # 👂🏽 ear: medium skin tone,group: 1F442,,1
,1,1F442 1F3FE ; fully-qualified # 👂🏾 ear: medium-dark skin tone,group: 1F442,,1
,1,1F442 1F3FF ; fully-qualified # 👂🏿 ear: dark skin tone,group: 1F442,,1
:hearing-aid:,1,1F9BB ; fully-qualified # 🦻 ear with hearing aid,,,1
,1,1F9BB 1F3FB ; fully-qualified # 🦻🏻 ear with hearing aid: light skin tone,group: 1F9BB,,1
,1,1F9BB 1F3FC ; fully-qualified # 🦻🏼 ear with hearing aid: medium-light skin tone,group: 1F9BB,,1
,1,1F9BB 1F3FD ; fully-qualified # 🦻🏽 ear with hearing aid: medium skin tone,group: 1F9BB,,1
,1,1F9BB 1F3FE ; fully-qualified # 🦻🏾 ear with hearing aid: medium-dark skin tone,group: 1F9BB,,1
,1,1F9BB 1F3FF ; fully-qualified # 🦻🏿 ear with hearing aid: dark skin tone,group: 1F9BB,,1
:foot:,1,1F9B6 ; fully-qualified # 🦶 foot,,,1
,1,1F9B6 1F3FB ; fully-qualified # 🦶🏻 foot: light skin tone,group: 1F9B6,,1
,1,1F9B6 1F3FC ; fully-qualified # 🦶🏼 foot: medium-light skin tone,group: 1F9B6,,1
,1,1F9B6 1F3FD ; fully-qualified # 🦶🏽 foot: medium skin tone,group: 1F9B6,,1
,1,1F9B6 1F3FE ; fully-qualified # 🦶🏾 foot: medium-dark skin tone,group: 1F9B6,,1
,1,1F9B6 1F3FF ; fully-qualified # 🦶🏿 foot: dark skin tone,group: 1F9B6,,1
:leg:,1,1F9B5 ; fully-qualified # 🦵 leg,,,1
,1,1F9B5 1F3FB ; fully-qualified # 🦵🏻 leg: light skin tone,group: 1F9B5,,1
,1,1F9B5 1F3FC ; fully-qualified # 🦵🏼 leg: medium-light skin tone,group: 1F9B5,,1
,1,1F9B5 1F3FD ; fully-qualified # 🦵🏽 leg: medium skin tone,group: 1F9B5,,1
,1,1F9B5 1F3FE ; fully-qualified # 🦵🏾 leg: medium-dark skin tone,group: 1F9B5,,1
,1,1F9B5 1F3FF ; fully-qualified # 🦵🏿 leg: dark skin tone,group: 1F9B5,,1
:leg-mechanical:,1,1F9BF ; fully-qualified # 🦿 mechanical leg,,,
:arm-mechanical:,1,1F9BE ; fully-qualified # 🦾 mechanical arm,,,
":muscle:,:flex:,:bicep:,:strong:",1,1F4AA ; fully-qualified # 💪 flexed biceps,,,1
,1,1F4AA 1F3FB ; fully-qualified # 💪🏻 flexed biceps: light skin tone,group: 1F4AA,,1
,1,1F4AA 1F3FC ; fully-qualified # 💪🏼 flexed biceps: medium-light skin tone,group: 1F4AA,,1
,1,1F4AA 1F3FD ; fully-qualified # 💪🏽 flexed biceps: medium skin tone,group: 1F4AA,,1
,1,1F4AA 1F3FE ; fully-qualified # 💪🏾 flexed biceps: medium-dark skin tone,group: 1F4AA,,1
,1,1F4AA 1F3FF ; fully-qualified # 💪🏿 flexed biceps: dark skin tone,group: 1F4AA,,1
:clap:,1,1F44F ; fully-qualified # 👏 clapping hands,,,1
,1,1F44F 1F3FB ; fully-qualified # 👏🏻 clapping hands: light skin tone,group: 1F44F,,1
,1,1F44F 1F3FC ; fully-qualified # 👏🏼 clapping hands: medium-light skin tone,group: 1F44F,,1
,1,1F44F 1F3FD ; fully-qualified # 👏🏽 clapping hands: medium skin tone,group: 1F44F,,1
,1,1F44F 1F3FE ; fully-qualified # 👏🏾 clapping hands: medium-dark skin tone,group: 1F44F,,1
,1,1F44F 1F3FF ; fully-qualified # 👏🏿 clapping hands: dark skin tone,group: 1F44F,,1
":thumbs-up:,:+1:",1,1F44D ; fully-qualified # 👍 thumbs up,,,1
,1,1F44D 1F3FB ; fully-qualified # 👍🏻 thumbs up: light skin tone,group: 1F44D,,1
,1,1F44D 1F3FC ; fully-qualified # 👍🏼 thumbs up: medium-light skin tone,group: 1F44D,,1
