2025 Rank,[2025] Emoji,Rank Change from 2024,Shares Count,% of Total Shares,[2024] Top Emoji
102,👋,-4 ⬇️,"1,237,236",0.1859%,😇
103,❣️,-8 ⬇️,"1,213,003",0.1823%,🎊
104,☹️,+14 ⬆️,"1,195,502",0.1796%,😑
105,🎊,-2 ⬇️,"1,193,067",0.1793%,🎁
106,😳,+5 ⬆️,"1,189,926",0.1788%,🫠
107,🖕🏻,+21 ⬆️,"1,160,223",0.1743%,😥
108,✌️,+15 ⬆️,"1,149,743",0.1728%,🍾
109,😓,+7 ⬆️,"1,135,989",0.1707%,🩵
110,🤫,-25 ⬇️,"1,127,155",0.1694%,💛
111,💐,-12 ⬇️,"1,123,444",0.1688%,😳
112,🥱,+5 ⬆️,"1,109,715",0.1668%,😐
113,😻,-31 ⬇️,"1,102,986",0.1657%,🗣️
114,😥,-7 ⬇️,"1,074,437",0.1615%,🤡
115,☠️,-27 ⬇️,"1,064,847",0.1600%,🫡
116,🗣️,-3 ⬇️,"1,049,923",0.1578%,😓
117,😬,-16 ⬇️,"1,042,621",0.1567%,🥱
118,💘,+4 ⬆️,"1,037,521",0.1559%,☹️
119,🤢,+11 ⬆️,"1,006,804",0.1513%,🇹🇷
120,💝,+5 ⬆️,"998,391",0.1500%,🌲
121,😐,-9 ⬇️,"995,084",0.1495%,🤑
122,😩,+7 ⬆️,"960,135",0.1443%,💘
123,😮‍💨,+10 ⬆️,"910,356",0.1368%,✌️
124,🇧🇷,+60 ⬆️,"900,553",0.1353%,😛
125,🫢,+13 ⬆️,"889,104",0.1336%,💝
126,✅,+14 ⬆️,"880,992",0.1324%,🍀
127,🫩,New,"877,327",0.1318%,❤️‍🔥
128,👹,+8 ⬆️,"868,562",0.1305%,🖕🏻
129,🎁,-24 ⬇️,"868,298",0.1305%,😩
130,👅,+47 ⬆️,"866,745",0.1302%,🤢
131,❤️‍🔥,-4 ⬇️,"860,299",0.1293%,😙
132,🎄,-60 ⬇️,"859,421",0.1291%,🧿
133,🤑,-12 ⬇️,"856,514",0.1287%,😮‍💨
134,😠,+9 ⬆️,"854,456",0.1284%,💥
135,🫰,+57 ⬆️,"847,967",0.1274%,😹
136,🧡,+20 ⬆️,"796,906",0.1197%,👹
137,🙏🏼,+2 ⬆️,"794,964",0.1195%,🎀
138,👁️,+14 ⬆️,"786,495",0.1182%,🫢
139,🍀,-13 ⬇️,"780,662",0.1173%,🙏🏼
140,😤,+2 ⬆️,"779,825",0.1172%,✅
141,🤡,-27 ⬇️,"769,177",0.1156%,😨
142,🥂,-58 ⬇️,"755,068",0.1135%,😤
143,👑,+2 ⬆️,"744,658",0.1119%,😠
144,⬜,+3 ⬆️,"739,854",0.1112%,😕
145,😙,-14 ⬇️,"737,536",0.1108%,👑
146,🇹🇷,-27 ⬇️,"726,867",0.1092%,❄️
147,🌸,+4 ⬆️,"722,271",0.1085%,⬜
148,😕,-4 ⬇️,"714,431",0.1074%,🌷
149,💥,-15 ⬇️,"708,302",0.1064%,🤙
150,🌷,-2 ⬇️,"708,255",0.1064%,🤷
151,⭐,+17 ⬆️,"705,347",0.1060%,🌸
152,💤,+6 ⬆️,"702,275",0.1055%,👁️
153,👿,+12 ⬆️,"691,704",0.1039%,😰
154,🎀,-17 ⬇️,"688,457",0.1035%,🌺
155,😫,+18 ⬆️,"676,555",0.1017%,🎈
156,😗,+8 ⬆️,"669,168",0.1006%,🧡
157,👄,+3 ⬆️,"663,637",0.0997%,🟥
158,🙂‍↕️,+9 ⬆️,"649,003",0.0975%,💤
159,🧿,-27 ⬇️,"648,205",0.0974%,👏🏻
160,🌺,-6 ⬇️,"639,144",0.0960%,👄
161,😨,-20 ⬇️,"627,157",0.0942%,😵‍💫
162,👏🏻,-3 ⬇️,"625,973",0.0941%,🧐
163,💃,+17 ⬆️,"617,912",0.0929%,🤓
164,🤝,+6 ⬆️,"611,476",0.0919%,😗
165,🤧,+7 ⬆️,"605,393",0.0910%,👿
166,🫰🏻,+133 ⬆️,"591,032",0.0888%,👻
167,🙁,+22 ⬆️,"578,054",0.0869%,🙂‍↕️
168,💦,+18 ⬆️,"574,146",0.0863%,⭐
169,🤙,-20 ⬇️,"563,174",0.0846%,😶‍🌫️
170,😰,-17 ⬇️,"561,871",0.0844%,🤝
171,🎈,-16 ⬇️,"557,731",0.0838%,😶
172,🫵,+45 ⬆️,"557,136",0.0837%,🤧
173,🍾,-65 ⬇️,"555,634",0.0835%,😫
174,🧐,-12 ⬇️,"553,451",0.0832%,💫
175,👻,-9 ⬇️,"549,305",0.0825%,🍻
176,👺,+5 ⬆️,"544,758",0.0819%,🫶🏼
177,🤷,-27 ⬇️,"527,792",0.0793%,👅
178,😶,-7 ⬇️,"519,748",0.0781%,🤯
179,☝️,0 ➡️,"514,673",0.0773%,☝️
180,😵‍💫,-19 ⬇️,"514,262",0.0773%,💃
181,🌟,+4 ⬆️,"513,013",0.0771%,👺
182,🙏🏽,+6 ⬆️,"509,522",0.0766%,🍑
183,😶‍🌫️,-14 ⬇️,"508,618",0.0764%,👎
184,👉,+15 ⬆️,"506,129",0.0761%,🇧🇷
185,💫,-11 ⬇️,"505,797",0.0760%,🌟
186,👈,+23 ⬆️,"501,721",0.0754%,💦
187,🌲,-67 ⬇️,"497,132",0.0747%,👍🏼
188,🤓,-25 ⬇️,"490,102",0.0736%,🙏🏽
189,🙂‍↔️,+61 ⬆️,"481,454",0.0723%,🙁
190,⚡,+74 ⬆️,"475,674",0.0715%,🥀
191,😵,+4 ⬆️,"475,462",0.0714%,😿
192,🌈,+12 ⬆️,"472,993",0.0711%,🫰
193,🤯,-15 ⬇️,"471,607",0.0709%,🎇
194,🙌🏻,+13 ⬆️,"466,556",0.0701%,😲
195,🫤,+5 ⬆️,"464,096",0.0697%,😵
196,👎,-13 ⬇️,"462,955",0.0696%,🎆
197,🫶🏼,-21 ⬇️,"462,523",0.0695%,😮
198,🍻,-23 ⬇️,"461,391",0.0693%,👊
199,😮,-2 ⬇️,"447,420",0.0672%,👉
200,🟥,-43 ⬇️,"439,651",0.0661%,🫤
201,👊,-3 ⬇️,"437,588",0.0658%,🤞
202,❄️,-56 ⬇️,"432,630",0.0650%,🤟
203,🤟,-1 ⬇️,"429,963",0.0646%,🍆
204,👍🏼,-17 ⬇️,"427,033",0.0642%,🌈
205,⬛,+1 ⬆️,"422,323",0.0635%,🫀
206,😖,+37 ⬆️,"421,965",0.0634%,⬛
207,🍓,+33 ⬆️,"421,827",0.0634%,🙌🏻
208,🫥,+10 ⬆️,"421,234",0.0633%,😪
209,🫀,-4 ⬇️,"421,227",0.0633%,👈
210,🤎,+12 ⬆️,"418,164",0.0628%,🌞
211,😿,-20 ⬇️,"416,279",0.0626%,☕
212,⚪,+40 ⬆️,"409,695",0.0616%,‼️
213,😲,-19 ⬇️,"406,827",0.0611%,😯
214,☕,-3 ⬇️,"402,424",0.0605%,🌻
215,🍑,-33 ⬇️,"396,184",0.0595%,🌚
216,💸,+47 ⬆️,"395,817",0.0595%,🤠
217,🤐,+2 ⬆️,"393,895",0.0592%,🫵
